GRUPO;CONSULTA_PORTAL;TIPO_CONSULTA;FILTRO;CAMPO_PORTAL;MIGALHA;PERMITE_SELECAO;PERMITE_CLIQUE;POSSUI_TOOLTIP;TOOLTIP_DESCRICAO_PORTAL;OBSERVACAO;CAMPO_DERIVADO;ORIGEM_DADOS;CAMPO_ORIGEM_DADOS;DIMENSAO_ORIGEM_DADOS;TOOLTIP_ORIGEM_DADOS
Planejamento e Resultados;Alteração Orçamentária;Pesquisa Básica;;Ano;Alteração Orçamentária;sim;não;não;;;;armazém SIAFI;Ano de exercício;Período Contábil ;Ano de exercídio do Orçamento Fiscal
Planejamento e Resultados;Alteração Orçamentária;Pesquisa Básica;;Órgão;Alteração Orçamentária / Órgão;não;sim;sim;Nome da unidade orçamentária que planejou a despesa;;;armazém SIAFI;Unidade Orçamentária - nome;Unidade Orçamentária;Nome Completo da Unidade Orçamentária
Planejamento e Resultados;Alteração Orçamentária;Pesquisa Básica;;Crédito Suplementar;Alteração Orçamentária / Órgão;não;sim;sim;Valor monetário suplementado ao orçamento, destinado ao reforço de dotação já existente na Lei Orçamentária anual;-;;armazém SIAFI;Valor Suplementação;Execução Orçamentária da Despesa >> Alteração Orçamentária ;Valor, em reais, destinado a reforço de dotação orçamentária
Planejamento e Resultados;Alteração Orçamentária;Pesquisa Básica;;Crédito Extraordinário;Alteração Orçamentária / Órgão;não;sim;sim;Valor monetário suplementado ao orçamento, destinado ao atendimento de despesas urgentes e imprevisíveis, como em caso de guerra, comoção interna ou calamidade pública;-;;armazém SIAFI;Valor Crédito Extraordinário;Execução Orçamentária da Despesa >> Alteração Orçamentária ;Valor, em reais, do acréscimo na dotação orçamentária destinado a despesas urgentes e imprevistas
Planejamento e Resultados;Alteração Orçamentária;Pesquisa Básica;;Crédito Especial;Alteração Orçamentária / Órgão;não;sim;sim;Valor monetário suplementado ao orçamento, destinado a despesas para as quais não haja dotação orçamentária específica na Lei Orçamentária Anual;-;;armazém SIAFI;Valor crédito Especial;Execução Orçamentária da Despesa >> Alteração Orçamentária ;Valor, em reais, do acréscimo na dotação orçamentária destinado a despesas sem dotação orçamentária específica
Planejamento e Resultados;Alteração Orçamentária;Pesquisa Básica;;Função;Alteração Orçamentária / Órgão;não;não;sim;Áreas de atuação do setor público nas quais são gastos os recursos, tais como saúde, educação, administração, transportes, etc.;;;armazém SIAFI;Função - Descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> Programa de Trabalho - Alteração;Descrição do nível máximo de agregação das ações do Governo
Planejamento e Resultados;Alteração Orçamentária;Pesquisa Básica;;Subfunção;Alteração Orçamentária / Órgão;não;não;sim;Identifica a natureza básica das ações que se aglutinam em torno das funções.;;;armazém SIAFI;Subfunção - Descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> Programa de Trabalho - Alteração;Descrição do detalhamento das áreas de atuação do Governo
Planejamento e Resultados;Alteração Orçamentária;Pesquisa Básica;;Programa;Alteração Orçamentária / Órgão;não;não;sim;Conjunto de ações para atender um problema ou demanda da sociedade.;;;armazém SIAFI;Programa - Descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> Programa de Trabalho - Alteração;Descrição do objetivo concreto, bem ou serviço que se quer atingir
Planejamento e Resultados;Alteração Orçamentária;Pesquisa Básica;;Ação;Alteração Orçamentária / Órgão;não;sim;sim;Conjunto de operações das quais resulta a entrega de um produto (bem, serviço ou transferência financeira) que contribui para atender ao objetivo de um programa.;-;;armazém SIAFI;Projeto Atividade - Descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> Programa de Trabalho - Alteração;Código identificador do conjunto de operações, limitadas no tempo (projeto) ou realizadas de modo contínuo e permanente (atividade) dos quais resulta um produto final (projeto) ou necessárias à manutenção da ação governamental (atividade) 
Planejamento e Resultados;Alteração Orçamentária;Pesquisa Básica;;Grupo;Alteração Orçamentária / Órgão / Ação;não;não;sim;Classificação da despesa que agrega elementos de despesa quanto ao objeto do gasto (pessoal, juros, amortização da dívida, investimentos, etc.).;-;;armazém SIAFI;Grupo Despesa - Descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> GMIFP - Alteração;"Descrição do grupo de natureza econômica da despesa: Pessoal e Encargos Sociais; Juros e Encargos da Divida; Outras Despesas Correntes; Investimentos; Inversões Financeiras; Amortização da Divida"
